	0	1	2	3	4	5
414	601118	type3	target_close2	amount_normalize20_rolling_96_mean	-0.2267173469984862	0.0020269908400591
414	600616	type3	target_close2	amount_normalize20_rolling_96_mean	-0.281711264899548	0.0001332892747328
414	2198	type3	target_close2	amount_normalize20_rolling_96_mean	-0.2164125120043214	0.0043527473915286
414	791	type3	target_close2	amount_normalize20_rolling_96_mean	-0.2438321031792017	0.0008239446424498
414	300985	type3	target_close2	amount_normalize20_rolling_96_mean	-0.217689101392933	0.0038048204687773
414	300549	type3	target_close2	amount_normalize20_rolling_96_mean	-0.3514422032061159	1.108786661441502e-05
414	300283	type3	target_close2	amount_normalize20_rolling_96_mean	-0.2359464041216481	0.0020133144103698
414	2471	type3	target_close2	amount_normalize20_rolling_96_mean	-0.2650580285591863	0.0005804316825037
414	300079	type3	target_close2	amount_normalize20_rolling_96_mean	-0.2370078058000363	0.0032830364433145
414	600777	type3	target_close2	amount_normalize20_rolling_96_mean	-0.2164976930700801	0.0035105839423109
414	600261	type3	target_close2	amount_normalize20_rolling_96_mean	-0.2176805064298335	0.0047149248292658
414	603590	type3	target_close2	amount_normalize20_rolling_96_mean	-0.2273700428939411	0.0043105159256463
414	300276	type3	target_close2	amount_normalize20_rolling_96_mean	-0.2348242059812275	0.0049086980594008
414	2643	type3	target_close2	amount_normalize20_rolling_96_mean	-0.2514953658676769	0.0033758991084084
414	605162	type3	target_close2	amount_normalize20_rolling_96_mean	-0.23451713872683	0.0077103674590802
414	300865	type3	target_close2	amount_normalize20_rolling_96_mean	-0.2244007264178274	0.0024585640999416
414	600346	type3	target_close2	amount_normalize20_rolling_96_mean	-0.2132681565182103	0.0077125859492349
414	300052	type3	target_close2	amount_normalize20_rolling_96_mean	-0.2232646544360777	0.0039445678481925
414	975	type3	target_close2	amount_normalize20_rolling_96_mean	-0.2680707264749407	0.0001919311818007
414	300075	type3	target_close2	amount_normalize20_rolling_96_mean	-0.2519026487310158	0.0009879472918552
414	2732	type3	target_close2	amount_normalize20_rolling_96_mean	-0.2591072766452956	0.0012670080751756
414	2760	type3	target_close2	amount_normalize20_rolling_96_mean	-0.2826188990412883	0.0002058142852186
414	953	type3	target_close2	amount_normalize20_rolling_96_mean	-0.2142213585961667	0.0061939888618787
414	2661	type3	target_close2	amount_normalize20_rolling_96_mean	-0.2880661071952471	0.0001528024331518
414	2341	type3	target_close2	amount_normalize20_rolling_96_mean	-0.2192939872086751	0.0064593247007459
414	605028	type3	target_close2	amount_normalize20_rolling_96_mean	-0.2180745873845267	0.0134033765050337
